timestamp,All,North America,Europe,Asia-Pacific,Other
2023-12-21,13.391795588235297,7.743267647058827,1.0220588235294121,3.4510279411764713,1.1754411764705885
2023-12-22,13.44670588235294,7.769073529411767,1.0246117647058828,3.4866970588235304,1.166323529411765
2023-12-26,13.529154411764708,7.817836764705883,1.0269955882352944,3.499175000000001,1.1851470588235298
2023-12-27,13.53780441176471,7.818189705882354,1.0286558823529415,3.506841176470589,1.1841176470588237
2023-12-28,13.572020588235295,7.83547205882353,1.0253161764705885,3.5188794117647064,1.1923529411764708
2023-12-29,13.467350000000003,7.761423529411766,1.0273235294117649,3.504485294117648,1.174117647058824
2024-01-02,13.562307352941179,7.798238235294118,1.0158970588235297,3.5665544117647068,1.1816176470588238
2024-01-03,13.263264705882355,7.550586764705884,1.0013514705882356,3.5473558823529423,1.1639705882352944
2024-01-04,13.319870588235297,7.560195588235295,0.991838235294118,3.60607205882353,1.1617647058823533
2024-01-05,13.27285147058824,7.573105882352942,0.9891411764705884,3.6017808823529416,1.108823529411765
2024-01-08,13.413343985294121,7.696370588235295,1.0000454558823533,3.5972220588235304,1.1197058823529413
2024-01-09,13.307372058823535,7.591810294117648,0.9927338235294121,3.613269117647059,1.109558823529412
2024-01-10,13.269844117647061,7.53373823529412,0.9926117647058825,3.618935294117648,1.124558823529412
2024-01-11,13.244602941176472,7.5262029411764715,0.9889970588235296,3.598961764705883,1.1304411764705886
2024-01-12,13.237600000000006,7.496067647058824,0.9919485294117649,3.619877941176471,1.1297058823529413
2024-01-16,13.205755882352944,7.5137470588235304,0.972494117647059,3.6106911764705893,1.108823529411765
2024-01-17,13.182080470588236,7.497308823529413,0.9639245882352944,3.6184941176470597,1.1023529411764708
2024-01-18,13.363667647058831,7.67309117647059,0.954573529411765,3.6235029411764708,1.1125000000000003
2024-01-19,13.466625000000002,7.720327941176473,0.9534411764705883,3.6625617647058837,1.1302941176470591
2024-01-22,13.504895588235298,7.685391176470589,0.9666117647058825,3.7059808823529417,1.1469117647058826
2024-01-23,13.492767647058825,7.715088235294118,0.9635455882352943,3.6933985294117653,1.1207352941176472
2024-01-24,13.448623529411766,7.626066176470589,0.9607220588235297,3.73874705882353,1.123088235294118
2024-01-25,13.598880882352944,7.726079411764708,0.962794117647059,3.78427205882353,1.1257352941176473
2024-01-26,13.595932352941183,7.735576470588236,0.9646691176470591,3.7778926470588243,1.1177941176470592
2024-01-29,13.711967647058826,7.853464705882355,0.970279411764706,3.762635294117648,1.125588235294118
2024-01-30,16.696304411764707,10.831683823529414,0.9679367647058825,3.7550661764705895,1.1416176470588237
2024-01-31,16.52136911764707,10.741132352941179,0.9672205882352943,3.7021338235294126,1.1108823529411769
2024-02-01,16.73094264705883,10.895502941176472,0.9689382352941178,3.7281191176470596,1.1383823529411767
2024-02-02,16.798920588235298,10.971527941176472,0.9578382352941178,3.729995588235295,1.1395588235294118
2024-02-05,16.629316176470592,10.82581029411765,0.9534691176470591,3.713125000000001,1.1369117647058826
2024-02-06,16.751810294117654,10.898725000000004,0.9656470588235296,3.736850000000001,1.150588235294118
2024-02-07,16.616519117647062,10.899582352941179,0.9669117647058826,3.748995588235295,1.001029411764706
2024-02-08,17.076473529411768,11.144335294117647,0.9575735294117649,3.885300000000001,1.089264705882353
2024-02-09,17.24771323529412,11.321545588235297,0.9590264705882355,3.857288235294119,1.1098529411764708
2024-02-12,17.22319117647059,11.29815882352941,0.9604705882352943,3.8419147058823535,1.1226470588235298
2024-02-13,16.745150000000006,10.928995588235297,0.9438441176470591,3.784663235294119,1.0876470588235296
2024-02-14,17.024776470588236,11.086580882352942,0.9457058823529414,3.8460191176470593,1.1464705882352944
2024-02-15,17.242822058823535,11.226673529411764,0.9506161764705885,3.8828852941176475,1.1826470588235296
2024-02-16,17.170892647058828,11.164039705882358,0.9419500000000002,3.881079411764707,1.183823529411765
2024-02-20,16.830992647058828,10.884047058823533,0.9419867647058826,3.848047058823531,1.1569117647058826
2024-02-21,16.780961764705886,10.864061764705884,0.9389235294117649,3.8459176470588243,1.132058823529412
2024-02-22,16.94090294117648,10.987883823529414,0.9413970588235296,3.852945588235295,1.1586764705882358
2024-02-23,17.06718529411765,11.11443823529412,0.9484926470588237,3.8488132352941182,1.1554411764705883
2024-02-26,17.007173529411766,11.011932352941177,0.9496911764705884,3.861285294117648,1.1842647058823532
2024-02-27,17.10906029411765,11.134864705882356,0.9469764705882355,3.8479544117647064,1.179264705882353
2024-02-28,17.122739705882356,11.125705882352944,0.947794117647059,3.8546808823529424,1.194558823529412
2024-02-29,17.329938235294126,11.323064705882356,0.9516411764705884,3.843614705882354,1.2116176470588238
2024-03-01,17.17394852941177,11.205039705882356,0.9554411764705883,3.7947911764705893,1.2186764705882356
2024-03-04,17.048063235294123,11.067133823529414,0.9480882352941179,3.839900000000001,1.1929411764705886
2024-03-05,16.875282352941184,10.911701470588236,0.9496308823529414,3.84174411764706,1.1722058823529413
2024-03-06,16.962025000000008,10.967544117647062,0.9536764705882355,3.8613926470588242,1.1794117647058826
2024-03-07,17.11528088235295,11.097494117647063,0.9594588235294119,3.882004411764706,1.1763235294117649
2024-03-08,17.061811764705883,11.016780882352942,0.9624250000000002,3.9029000000000007,1.1797058823529414
2024-03-11,17.222892647058828,11.093398529411768,0.9624073529411766,3.9647338235294125,1.2023529411764708
2024-03-12,17.2703455882353,11.167023529411766,0.9614205882352943,3.9466073529411774,1.195294117647059
2024-03-13,17.33061323529412,11.189607352941177,0.9566955882352943,3.9715161764705895,1.2127941176470591
2024-03-14,17.126523529411767,11.073105882352946,0.9484558823529414,3.932608823529412,1.1723529411764708
2024-03-15,17.026630882352944,10.943982352941179,0.9462647058823531,3.9903544117647067,1.1460294117647063
2024-03-18,16.97758823529412,10.923238235294118,0.9454411764705885,3.9775852941176475,1.131323529411765
2024-03-19,17.07847352941177,11.017161764705884,0.9532102941176472,3.96471911764706,1.1433823529411766
2024-03-20,17.251114705882358,11.198886764705884,0.9592500000000003,3.961654411764707,1.131323529411765
2024-03-21,17.32328529411765,11.219401470588238,0.9553602941176473,3.9885235294117654,1.1600000000000001
2024-03-22,17.29181911764706,11.18444705882353,0.9592647058823531,4.018548529411766,1.129558823529412
2024-03-25,17.29678823529412,11.171883823529416,0.956073529411765,4.051183823529413,1.1176470588235297
2024-03-26,17.477686764705886,11.314777941176473,0.9572073529411766,4.081142647058824,1.124558823529412
2024-03-27,17.408386764705885,11.197573529411768,0.9624955882352942,4.1014058823529425,1.1469117647058826
2024-03-28,17.406244117647063,11.136970588235299,0.9625029411764707,4.151770588235295,1.1550000000000002
2024-04-01,17.425214705882357,11.217123529411769,0.959308823529412,4.119517647058824,1.1292647058823533
2024-04-02,17.253670588235302,11.085905882352945,0.9547617647058826,4.093002941176472,1.12
2024-04-03,17.46307352941177,11.29163529411765,0.9563661764705884,4.09771911764706,1.1173529411764709
2024-04-04,17.27233235294118,11.131216176470591,0.9536632352941179,4.068335294117648,1.1191176470588238
2024-04-05,17.42414117647059,11.264261764705884,0.9518382352941178,4.087158823529413,1.1208823529411767
2024-04-08,17.26042647058824,11.087288235294118,0.9521308823529414,4.0761544117647075,1.1448529411764707
2024-04-09,17.40159411764706,11.26453823529412,0.9546014705882355,4.028483823529413,1.1539705882352944
2024-04-10,17.09554117647059,11.012835294117648,0.9325147058823531,4.027397058823531,1.122794117647059
2024-04-11,17.08466617647059,11.039644117647061,0.9307426470588237,3.9741323529411776,1.1401470588235296
2024-04-12,16.769477941176476,10.72348529411765,0.9373014705882355,3.9753088235294127,1.1333823529411766
2024-04-15,16.664591176470594,10.656094117647061,0.9261102941176472,3.9548867647058827,1.1275000000000002
2024-04-16,16.670780882352943,10.69639705882353,0.9236911764705884,3.924075000000001,1.1266176470588238
2024-04-17,16.455538235294124,10.50544411764706,0.9350014705882355,3.9058279411764714,1.1092647058823533
2024-04-18,16.49958235294118,10.454589705882354,0.928254411764706,4.009679411764707,1.107058823529412
2024-04-19,16.538964705882353,10.40044705882353,0.9300147058823531,4.099679411764707,1.108823529411765
2024-04-22,16.73338911764706,10.525836764705884,0.9371552941176473,4.130250000000001,1.1401470588235296
2024-04-23,17.01152205882353,10.72759705882353,0.9441176470588237,4.16171911764706,1.178088235294118
2024-04-24,16.802323529411773,10.63087941176471,0.9056544117647062,4.103583823529413,1.1622058823529415
2024-04-25,16.837030882352945,10.693339705882359,0.9017308823529414,4.098136764705883,1.143823529411765
2024-04-26,16.575410294117653,10.450445588235297,0.9007985294117649,4.0743132352941185,1.1498529411764709
2024-04-29,16.676523529411767,10.529919117647058,0.9044132352941179,4.085867647058825,1.1563235294117649
2024-04-30,16.401208823529412,10.297464705882355,0.8997058823529415,4.073450000000001,1.130588235294118
2024-05-01,16.52504705882354,10.407898529411767,0.9025750000000001,4.098102941176472,1.1164705882352943
2024-05-02,16.68717205882353,10.577588235294119,0.907294117647059,4.070525000000002,1.131764705882353
2024-05-03,16.78996911764706,10.691029411764704,0.9137500000000003,4.039307352941178,1.1458823529411768
2024-05-06,17.07525147058824,10.917811764705883,0.9118985294117649,4.07289411764706,1.1726470588235296
2024-05-07,17.055547058823535,10.924564705882352,0.9138235294117649,4.044658823529413,1.1725000000000003
2024-05-08,16.9475,10.791057352941179,0.904119117647059,4.077470588235295,1.1748529411764708
